Location,Feature,Name
"(47.5636, -122.358)",Alternative Schools,Pathfinder
"(47.52374, -122.27201)",Alternative Schools,The New School At Southshore
"(47.642257, -122.399261)",Alternative Schools,Catharine Blaine K-8
"(47.713431, -122.31466)",Alternative Schools,As #1 At Pinehurst
"(47.6216, -122.30524)",Alternative Schools,Nova
"(47.622078, -122.353983)",Alternative Schools,The Center School
"(47.685032, -122.282669)",Alternative Schools,Thornton Creek K-8
"(47.55478, -122.27596)",Alternative Schools,Orca K-8
"(47.52526, -122.27092)",Alternative Schools,South Lake Hs
"(47.612237, -122.290868)",Alternative Schools,Madrona K-8
"(47.676298, -122.38051)",Alternative Schools,Salmon Bay
"(47.642286, -122.324177)",Alternative Schools,Tops K-8
"(47.578526, -122.38523)",Basketball Courts,Hiawatha Playfield
"(47.532807, -122.370211)",Basketball Courts,E.C. Hughes Playground
"(47.675545, -122.283764)",Basketball Courts,Bryant Playground
"(47.672596, -122.313072)",Basketball Courts,Cowen Park
"(47.666633, -122.282622)",Basketball Courts,Burke-Gilman Playground Park
